-i test_files/dummy.c
-i test_files/dummy.c test_files/Makefile
-i test_files/Makefile
-vi test_files/dummy.c
-vi test_files/dummy.c test_files/Makefile
-vi test_files/Makefile
-ci test_files/dummy.c
-ci test_files/dummy.c test_files/Makefile
-ci test_files/Makefile
-li test_files/dummy.c
-li test_files/dummy.c test_files/Makefile
-li test_files/Makefile
-hi test_files/dummy.c
-hi test_files/dummy.c test_files/Makefile
-hi test_files/Makefile
-vci test_files/dummy.c
-vci test_files/dummy.c test_files/Makefile
-vci test_files/Makefile
-vli test_files/dummy.c
-vli test_files/dummy.c test_files/Makefile
-vli test_files/Makefile
-vhi test_files/dummy.c
-vhi test_files/dummy.c test_files/Makefile
-vhi test_files/Makefile
-cli test_files/dummy.c
-cli test_files/dummy.c test_files/Makefile
-cli test_files/Makefile
-chi test_files/dummy.c
-chi test_files/dummy.c test_files/Makefile
-chi test_files/Makefile
-hli test_files/dummy.c
-hli test_files/dummy.c test_files/Makefile
-hli test_files/Makefile
-vcli test_files/dummy.c
-vcli test_files/dummy.c test_files/Makefile
-vcli test_files/Makefile
-vchi test_files/dummy.c
-vchi test_files/dummy.c test_files/Makefile
-vchi test_files/Makefile
-vhli test_files/dummy.c
-vhli test_files/dummy.c test_files/Makefile
-vhli test_files/Makefile
-hcli test_files/dummy.c
-hcli test_files/dummy.c test_files/Makefile
-hcli test_files/Makefile
-cilhv test_files/dummy.c
-cilhv test_files/dummy.c test_files/Makefile
-cilhv test_files/Makefile
-v test_files/dummy.c
-v test_files/dummy.c test_files/Makefile
-v test_files/Makefile
-cv test_files/dummy.c
-cv test_files/dummy.c test_files/Makefile
-cv test_files/Makefile
-lv test_files/dummy.c
-lv test_files/dummy.c test_files/Makefile
-lv test_files/Makefile
-hv test_files/dummy.c
-hv test_files/dummy.c test_files/Makefile
-hv test_files/Makefile
-clv test_files/dummy.c
-clv test_files/dummy.c test_files/Makefile
-clv test_files/Makefile
-chv test_files/dummy.c
-chv test_files/dummy.c test_files/Makefile
-chv test_files/Makefile
-hlv test_files/dummy.c
-hlv test_files/dummy.c test_files/Makefile
-hlv test_files/Makefile
-hclv test_files/dummy.c
-hclv test_files/dummy.c test_files/Makefile
-hclv test_files/Makefile
-c test_files/dummy.c
-c test_files/dummy.c test_files/Makefile
-c test_files/Makefile
-lc test_files/dummy.c
-lc test_files/dummy.c test_files/Makefile
-lc test_files/Makefile
-hc test_files/dummy.c
-hc test_files/dummy.c test_files/Makefile
-hc test_files/Makefile
-hlc test_files/dummy.c
-hlc test_files/dummy.c test_files/Makefile
-hlc test_files/Makefile
-l test_files/dummy.c
-l test_files/dummy.c test_files/Makefile
-l test_files/Makefile
-hl test_files/dummy.c
-hl test_files/dummy.c test_files/Makefile
-hl test_files/Makefile
-h test_files/dummy.c
-h test_files/dummy.c test_files/Makefile
-h test_files/Makefile
test_files/dummy.c
test_files/dummy.c test_files/Makefile
test_files/Makefile
